     k         norm x 
     0     1.000000 (  0.47555,   0.26279,   0.29392,   0.87002,    0.2049, -0.066105,   -0.1032,   0.29392,   0.22833, -0.037552, -0.066105,   0.26279,   0.49167,   0.22833,    0.2049,   0.47555)
     1     0.253104 ( 0.59247,  0.43863,  0.55132,    1.017,  0.36435, 0.015629, 0.010712,  0.55132,  0.39309, 0.043562, 0.015629,  0.43863,  0.60584,  0.39309,  0.36435,  0.59247)
     2     0.148006 ( 0.6763, 0.55264,  0.6605,  1.1457,  0.4552, 0.14821, 0.18028,  0.6605, 0.48177, 0.16681, 0.14821, 0.55264, 0.68822, 0.48177,  0.4552,  0.6763)
     3     0.103660 (0.72751, 0.63404, 0.76357,  1.2003, 0.53147, 0.27263, 0.30116, 0.76357, 0.55589, 0.27744, 0.27263, 0.63404, 0.73256, 0.55589, 0.53147, 0.72751)
     4     0.090865 (0.76693, 0.70371, 0.82779,  1.2518, 0.59391, 0.36992,  0.4149, 0.82779,  0.6137, 0.37671, 0.36992, 0.70371, 0.76962,  0.6137, 0.59391, 0.76693)
     5     0.067203 (0.79996, 0.75395, 0.88653,  1.2839, 0.64254,  0.4562, 0.49566, 0.88653, 0.66339, 0.45426,  0.4562, 0.75395, 0.79852, 0.66339, 0.64254, 0.79996)
     6     0.055214 (0.82467, 0.79846,  0.9273,  1.3133, 0.68479, 0.52049, 0.56817,  0.9273, 0.70216, 0.52225, 0.52049, 0.79846, 0.82337, 0.70216, 0.68479, 0.82467)
     7     0.042601 (0.84636,  0.8309,  0.9639,  1.3337, 0.71673, 0.57731,  0.6207,  0.9639, 0.73594, 0.57378, 0.57731,  0.8309, 0.84276, 0.73594, 0.71673, 0.84636)
     8     0.034547 (0.86246, 0.85968, 0.99024,   1.352,  0.7448, 0.61942, 0.66741, 0.99024, 0.76165, 0.61907, 0.61942, 0.85968, 0.85964, 0.76165,  0.7448, 0.86246)
     9     0.027258 (0.87667, 0.88082,  1.0137,  1.3651, 0.76578, 0.65664, 0.70164,  1.0137, 0.78421, 0.65298, 0.65664, 0.88082,  0.8725, 0.78421, 0.76578, 0.87667)
    10     0.022027 ( 0.8872, 0.89953,  1.0308,  1.3769, 0.78428,  0.6842, 0.73196,  1.0308, 0.80115, 0.68287,  0.6842, 0.89953, 0.88378, 0.80115, 0.78428,  0.8872)
    11     0.017581 (0.89651, 0.91334,   1.046,  1.3854, 0.79804, 0.70856, 0.75431,   1.046, 0.81607, 0.70512, 0.70856, 0.91334, 0.89225, 0.81607, 0.79804, 0.89651)
    12     0.014195 ( 0.9034, 0.92555,  1.0572,   1.393, 0.81018,  0.7266, 0.77409,  1.0572, 0.82719, 0.72476,  0.7266, 0.92555, 0.89971, 0.82719, 0.81018,  0.9034)
    13     0.011398 (0.90949, 0.93458,  1.0671,  1.3986,  0.8192, 0.74254,  0.7887,  1.0671,   0.837, 0.73934, 0.74254, 0.93458, 0.90527,   0.837,  0.8192, 0.90949)
    14     0.009204 (  0.914, 0.94257,  1.0744,  1.4036, 0.82716, 0.75435, 0.80162,  1.0744, 0.84429, 0.75222, 0.75435, 0.94257, 0.91017, 0.84429, 0.82716,   0.914)
    15     0.007415 (0.91798, 0.94847,  1.0809,  1.4072, 0.83306, 0.76478, 0.81118,  1.0809, 0.85072, 0.76177, 0.76478, 0.94847, 0.91382, 0.85072, 0.83306, 0.91798)
    16     0.005990 (0.92093, 0.95369,  1.0856,  1.4105, 0.83827, 0.77251, 0.81962,  1.0856, 0.85549,  0.7702, 0.77251, 0.95369, 0.91703, 0.85549, 0.83827, 0.92093)
    17     0.004834 (0.92354, 0.95756,  1.0899,  1.4128, 0.84214, 0.77934, 0.82588,  1.0899, 0.85971, 0.77645, 0.77934, 0.95756, 0.91942, 0.85971, 0.84214, 0.92354)
    18     0.003906 (0.92547, 0.96097,   1.093,   1.415, 0.84555,  0.7844, 0.83141,   1.093, 0.86284, 0.78197,  0.7844, 0.96097, 0.92153, 0.86284, 0.84555, 0.92547)
    19     0.003156 (0.92718,  0.9635,  1.0958,  1.4165, 0.84808, 0.78887,  0.8355,  1.0958,  0.8656, 0.78607, 0.78887,  0.9635, 0.92309,  0.8656, 0.84808, 0.92718)
    20     0.002551 (0.92845, 0.96574,  1.0978,  1.4179, 0.85031, 0.79218, 0.83912,  1.0978, 0.86764, 0.78968, 0.79218, 0.96574, 0.92447, 0.86764, 0.85031, 0.92845)
    21     0.002062 (0.92956, 0.96739,  1.0996,  1.4189, 0.85197, 0.79511, 0.84179,  1.0996, 0.86945, 0.79236, 0.79511, 0.96739,  0.9255, 0.86945, 0.85197, 0.92956)
    22     0.001667 (0.93039, 0.96886,  1.1009,  1.4198, 0.85343, 0.79727, 0.84416,  1.1009, 0.87079, 0.79473, 0.79727, 0.96886,  0.9264, 0.87079, 0.85343, 0.93039)
    23     0.001348 (0.93112, 0.96994,  1.1021,  1.4205, 0.85451, 0.79919, 0.84591,  1.1021, 0.87197, 0.79648, 0.79919, 0.96994, 0.92707, 0.87197, 0.85451, 0.93112)
    24     0.001090 (0.93167,  0.9709,   1.103,  1.4211, 0.85547, 0.80061, 0.84746,   1.103, 0.87285, 0.79803, 0.80061,  0.9709, 0.92766, 0.87285, 0.85547, 0.93167)
    25     0.000882 (0.93214, 0.97161,  1.1038,  1.4215, 0.85618, 0.80186, 0.84861,  1.1038, 0.87362, 0.79918, 0.80186, 0.97161,  0.9281, 0.87362, 0.85618, 0.93214)
    26     0.000713 ( 0.9325, 0.97223,  1.1044,  1.4219, 0.85681, 0.80279, 0.84963,  1.1044,  0.8742, 0.80019, 0.80279, 0.97223, 0.92849,  0.8742, 0.85681,  0.9325)
    27     0.000577 (0.93281,  0.9727,  1.1049,  1.4222, 0.85727, 0.80361, 0.85038,  1.1049, 0.87471, 0.80094, 0.80361,  0.9727, 0.92877, 0.87471, 0.85727, 0.93281)
    28     0.000467 (0.93304, 0.97311,  1.1052,  1.4225, 0.85768, 0.80422, 0.85104,  1.1052, 0.87508,  0.8016, 0.80422, 0.97311, 0.92903, 0.87508, 0.85768, 0.93304)
    29     0.000377 (0.93325, 0.97341,  1.1056,  1.4226, 0.85799, 0.80475, 0.85153,  1.1056, 0.87541,  0.8021, 0.80475, 0.97341, 0.92921, 0.87541, 0.85799, 0.93325)
    30     0.000305 ( 0.9334, 0.97368,  1.1058,  1.4228, 0.85825, 0.80515, 0.85197,  1.1058, 0.87566, 0.80253, 0.80515, 0.97368, 0.92938, 0.87566, 0.85825,  0.9334)
    31     0.000247 (0.93354, 0.97388,   1.106,  1.4229, 0.85845,  0.8055, 0.85229,   1.106, 0.87588, 0.80285,  0.8055, 0.97388,  0.9295, 0.87588, 0.85845, 0.93354)
    32     0.000200 (0.93363, 0.97405,  1.1062,   1.423, 0.85863, 0.80576, 0.85257,  1.1062, 0.87604, 0.80314, 0.80576, 0.97405, 0.92961, 0.87604, 0.85863, 0.93363)
    33     0.000162 (0.93372, 0.97418,  1.1063,  1.4231, 0.85876, 0.80599, 0.85278,  1.1063, 0.87618, 0.80335, 0.80599, 0.97418, 0.92969, 0.87618, 0.85876, 0.93372)
    34     0.000131 (0.93379,  0.9743,  1.1064,  1.4232, 0.85887, 0.80616, 0.85297,  1.1064, 0.87628, 0.80353, 0.80616,  0.9743, 0.92976, 0.87628, 0.85887, 0.93379)
    35     0.000106 (0.93384, 0.97438,  1.1065,  1.4232, 0.85896, 0.80631, 0.85311,  1.1065, 0.87638, 0.80367, 0.80631, 0.97438, 0.92982, 0.87638, 0.85896, 0.93384)
