     k           mu x 
     1       0.0000 (0, 1, 0)
     2       1.0000 (1, 1, 0)
     3       2.0000 (  1,   1, 0.5)
     4       2.5000 (  1, 0.8, 0.6)
     5       2.4000 (      1,    0.75, 0.66667)
     6       2.4167 (      1, 0.72414, 0.68966)
     7       2.4138 (      1, 0.71429,     0.7)
     8       2.4143 (      1, 0.71006, 0.70414)
     9       2.4142 (      1, 0.70833, 0.70588)
    10       2.4142 (      1, 0.70761,  0.7066)
    11       2.4142 (      1, 0.70732,  0.7069)
    12       2.4142 (      1, 0.70719, 0.70702)
