     k           mu x 
     1       0.0000 ( 0, -1,  0)
     2       1.0000 (-0.70711, -0.70711,        0)
     3       2.0000 (-0.66667, -0.66667, -0.33333)
     4       2.3333 (-0.70711, -0.56569, -0.42426)
     5       2.4000 (-0.70588, -0.52941, -0.47059)
     6       2.4118 (-0.70711, -0.51204, -0.48766)
     7       2.4138 (-0.70707, -0.50505, -0.49495)
     8       2.4141 (-0.70711, -0.50209,  -0.4979)
     9       2.4142 (-0.70711, -0.50087, -0.49913)
    10       2.4142 (-0.70711, -0.50036, -0.49964)
    11       2.4142 (-0.70711, -0.50015, -0.49985)
    12       2.4142 (-0.70711, -0.50006, -0.49994)
